"","Id","Area","Group","Year","Weight","Age","Sex","Preg","Tooth","Length"
"1",1,"G","11",2003,9.8,"A","F","NP",2,71
"2",2,"G","11",2003,12.2,"A","M","",2,76
"3",3,"G","XX1",2002,12.8,"A","F","NP",3,116
"4",4,"G","",2002,10.6,"A","F","NP",4,98
"5",5,"G","12",2003,10.8,"A","M","",2,94
"6",6,"G","12",2003,10.8,"A","M","",2,73
"7",7,"G","12",2003,11.5,"A","F","NP",4,98
"8",8,"G","12",2003,7.8,"A","F","NP",1,70
"9",9,"G","6",2003,11.2,"A","F","NP",3,95
"10",10,"G","6",2003,6.6,"C","F","NP",2,89
"11",11,"G","6",2003,13.1,"A","F","NP",4,105
"12",12,"G","6",2003,8,"C","M","",2,90
"13",13,"G","6",2002,10.5,"A","F","NP",4,96
"14",14,"G","6",2002,7.1,"A","F","NP",3,76
"15",15,"G","6",2002,11,"A","F","NP",5,84
"16",16,"G","10",2003,12.8,"A","M","",4,99
"17",17,"G","1",2003,11.8,"A","F","NP",4,99
"18",18,"G","4",2003,11.4,"A","M","",5,74
"20",20,"G","2",2002,8.7,"A","M","",4,83
"21",21,"G","2",2002,13.4,"A","F","NP",4,79
"22",22,"G","1",2003,7.9,"A","F","NP",3,79
"23",23,"G","1",2002,9.4,"A","F","NP",4,91
"24",24,"G","5",2002,7.3,"C","F","NP",2,83
"25",25,"G","5",2002,10.5,"A","F","NP",4,78
"27",27,"G","1",2002,12,"A","F","NP",4,75
"28",28,"G","6",2003,12,"A","F","NP",4,78
"29",29,"G","1",2003,11.5,"A","F","NP",3,96
"30",30,"G","4",2002,6.8,"C","M","",3,74
"31",31,"G","4",2002,9.9,"A","M","",4,93
"32",32,"G","4",2002,11.1,"A","M","",3,75
"33",33,"G","4",2002,5.9,"C","F","NP",2,84
"34",34,"G","4",2002,10.9,"A","F","NP",4,98
"35",35,"G","4",2002,6.6,"C","M","",2,81
"36",36,"G","4",2002,7.4,"A","F","NP",4,81
"37",37,"G","1",2002,13.4,"A","F","NP",5,100
"38",38,"G","1",2003,11,"A","M","",3,104
"39",39,"G","6",2003,10.1,"A","F","NP",3,100
"40",40,"G","6",2003,10.5,"A","M","",3,73
"41",41,"G","6",2003,11.5,"A","M","",5,102
"42",42,"G","4",2002,8.5,"A","F","NP",4,84
"44",44,"G","1",2002,11.4,"A","M","",4,77
"45",45,"G","1",2002,5.4,"C","F","NP",3,70
"46",46,"G","1",2002,7.4,"A","F","NP",5,81
"47",47,"G","2",2002,4.5,"C","F","NP",1,71
"48",48,"G","2",2002,4.4,"C","F","NP",2,69
"49",49,"G","2",2002,9.7,"A","F","NP",2,68
"50",50,"G","2",2002,9.1,"A","F","NP",3,95
"51",51,"G","3",2003,12.5,"A","M","",3,76
"52",52,"G","1",2002,10.6,"A","M","",4,95
"53",53,"G","7",2002,8,"C","M","",3,80
"54",54,"G","1",2002,8.6,"A","F","NP",3,83
"55",55,"G","7",2002,6,"A","M","",2,64
"56",56,"G","1",2002,7,"C","F","NP",2,76
"57",57,"G","5",2002,9,"A","F","NP",3,66
"58",58,"G","2",2003,10.4,"A","F","NP",2,101
"59",59,"G","1",2002,7.1,"C","F","NP",3,83
"60",60,"G","2",2002,10,"A","F","NP",NA,73
"61",61,"G","1",2002,10.4,"A","F","NP",3,107
"62",62,"G","5",2002,10.8,"A","F","NP",3,98
"63",63,"G","1",2002,10.5,"A","M","",4,73
"64",64,"G","1",2002,11.7,"A","M","",3,80
"65",65,"G","1",2002,11,"A","F","NP",3,69
"66",66,"G","2",2002,10.4,"A","F","NP",3,100
"67",67,"G","1",2002,10.8,"A","F","NP",3,98
"68",68,"G","1",2002,11.2,"A","F","NP",4,86
"69",69,"G","1",2002,12.6,"A","M","",5,103
"70",70,"G","1",2002,8.8,"A","M","",3,97
"71",71,"G","1",2002,11,"A","F","NP",4,93
"72",72,"G","1",2002,10.7,"A","F","NP",4,68
"73",73,"G","1",2002,11.8,"A","F","NP",3,112
"74",74,"G","20",2002,12.3,"A","F","NP",3,75
"75",75,"G","20",2002,12.2,"A","M","",4,94
"76",76,"G","20",2002,12.8,"A","M","",5,103
"77",77,"G","20",2002,10.4,"A","M","",1,81
"78",78,"G","12",2002,12.2,"A","M","",5,95
"79",79,"G","6",2002,9.7,"A","F","NP",3,88
"80",80,"G","6",2002,8.8,"A","F","NP",3,91
"81",81,"G","6",2002,9,"A","M","",4,86
"82",82,"G","7",2002,12.1,"A","F","NP",5,95
"83",83,"G","6",2002,6.3,"C","M","",3,76
"85",85,"G","6",2002,6.8,"C","M","",2,66
"86",86,"G","7",2002,10.1,"A","F","NP",4,98
"87",87,"G","6",2002,6,"C","M","",2,79
"88",88,"G","7",2002,10.4,"A","M","",5,90
"89",89,"G","3",2003,13.5,"A","F","NP",4,101
"91",91,"G","10",2003,6,"C","F","NP",2,82
"93",93,"G","10",2003,6.7,"C","M","",2,86
"94",94,"G","10",2003,9.4,"A","M","",5,99
"95",95,"G","22",2003,8,"A","F","NP",4,83
"96",96,"G","22",2003,9,"A","F","NP",2,84
"97",97,"G","22",2003,9,"A","M","",5,100
"98",98,"G","22",2003,10.9,"A","F","NP",4,85
"100",100,"G","5",2003,10,"A","F","NP",3,82
"101",101,"G","5",2003,8,"A","F","NP",3,84
"102",102,"G","17",2003,8,"A","M","",3,82
"103",103,"G","5",2003,6.7,"C","F","NP",2,83
"104",104,"G","5",2003,10.4,"A","F","NP",3,100
"105",105,"G","5",2003,9.1,"A","F","NP",3,93
"106",106,"G","5",2003,9.6,"A","M","",3,93
"107",107,"G","5",2003,8,"C","F","NP",2,74
"108",108,"G","5",2003,11.5,"A","F","NP",3,82
"109",109,"G","5",2003,7,"A","M","",3,85
"110",110,"G","5",2003,7,"A","M","",2,70
"111",111,"G","17",2003,10,"A","F","NP",4,83
"112",112,"G","5",2003,14,"A","M","",5,94
"113",113,"G","5",2003,13.2,"A","M","",4,104
"114",114,"G","5",2003,11,"A","F","NP",5,86
"115",115,"G","5",2003,15,"A","M","",5,99
"116",116,"G","5",2003,10.6,"A","F","NP",4,102
"117",117,"G","17",2003,5.9,"C","F","NP",2,76
"118",118,"G","16",2003,12,"A","M","",5,98
"119",119,"G","17",2003,9,"A","M","",3,85
"120",120,"G","15",2003,10.7,"A","F","NP",3,89
"121",121,"G","13",2003,10,"A","F","NP",3,88
"122",122,"G","15",2003,11,"A","F","NP",5,92
